timestamp,run_id,kind,scenario,phase,duration_nanos,duration_millis,preview_type,tree_preview_type,has_path,solved,ticks,task_state
"2026-05-31T03:07:48.137174200Z","4aca5fc3-21e0-4f64-acc8-86c88a198fbb","preview","large-number-chain","solveAndCalculatePreview","123938800","123","SUCCESS","SUCCESS","true","","",""
"2026-05-31T03:07:48.137174200Z","4aca5fc3-21e0-4f64-acc8-86c88a198fbb","preview","large-number-chain","solveAndCalculateTreePreview","119650200","119","SUCCESS","SUCCESS","true","","",""
"2026-05-31T03:07:48.142639800Z","4aca5fc3-21e0-4f64-acc8-86c88a198fbb","preview","large-number-chain","total","243589000","243","SUCCESS","SUCCESS","true","","",""
"2026-05-31T03:07:48.729278300Z","4aca5fc3-21e0-4f64-acc8-86c88a198fbb","section","sections-acyclic","initialization","4500100","4","SUCCESS","SUCCESS","","true","",""
"2026-05-31T03:07:48.729278300Z","4aca5fc3-21e0-4f64-acc8-86c88a198fbb","section","sections-acyclic","solve","563549600","563","SUCCESS","SUCCESS","","true","",""
"2026-05-31T03:07:48.734915600Z","4aca5fc3-21e0-4f64-acc8-86c88a198fbb","section","sections-acyclic","desanitize","4382700","4","SUCCESS","SUCCESS","","true","",""
"2026-05-31T03:07:48.734915600Z","4aca5fc3-21e0-4f64-acc8-86c88a198fbb","section","sections-acyclic","preview","1798600","1","SUCCESS","SUCCESS","","true","",""
"2026-05-31T03:07:48.734915600Z","4aca5fc3-21e0-4f64-acc8-86c88a198fbb","section","sections-acyclic","treePreview","911600","0","SUCCESS","SUCCESS","","true","",""
"2026-05-31T03:07:48.739086500Z","4aca5fc3-21e0-4f64-acc8-86c88a198fbb","section","sections-acyclic","total","575142600","575","SUCCESS","SUCCESS","","true","",""
"2026-05-31T03:07:49.058207200Z","4aca5fc3-21e0-4f64-acc8-86c88a198fbb","section","sections-cyclic-ring","initialization","678200","0","SUCCESS","SUCCESS","","true","",""
"2026-05-31T03:07:49.066327800Z","4aca5fc3-21e0-4f64-acc8-86c88a198fbb","section","sections-cyclic-ring","solve","309163500","309","SUCCESS","SUCCESS","","true","",""
"2026-05-31T03:07:49.073952800Z","4aca5fc3-21e0-4f64-acc8-86c88a198fbb","section","sections-cyclic-ring","desanitize","1834900","1","SUCCESS","SUCCESS","","true","",""
"2026-05-31T03:07:49.077602300Z","4aca5fc3-21e0-4f64-acc8-86c88a198fbb","section","sections-cyclic-ring","preview","3096700","3","SUCCESS","SUCCESS","","true","",""
"2026-05-31T03:07:49.079622800Z","4aca5fc3-21e0-4f64-acc8-86c88a198fbb","section","sections-cyclic-ring","treePreview","1115300","1","SUCCESS","SUCCESS","","true","",""
"2026-05-31T03:07:49.084000100Z","4aca5fc3-21e0-4f64-acc8-86c88a198fbb","section","sections-cyclic-ring","total","315888600","315","SUCCESS","SUCCESS","","true","",""
"2026-05-31T03:07:49.221423Z","4aca5fc3-21e0-4f64-acc8-86c88a198fbb","section","sections-many-small-cycles","initialization","948800","0","SUCCESS","SUCCESS","","true","",""
"2026-05-31T03:07:49.223433600Z","4aca5fc3-21e0-4f64-acc8-86c88a198fbb","section","sections-many-small-cycles","solve","129672700","129","SUCCESS","SUCCESS","","true","",""
"2026-05-31T03:07:49.223433600Z","4aca5fc3-21e0-4f64-acc8-86c88a198fbb","section","sections-many-small-cycles","desanitize","489200","0","SUCCESS","SUCCESS","","true","",""
"2026-05-31T03:07:49.223433600Z","4aca5fc3-21e0-4f64-acc8-86c88a198fbb","section","sections-many-small-cycles","preview","734600","0","SUCCESS","SUCCESS","","true","",""
"2026-05-31T03:07:49.223433600Z","4aca5fc3-21e0-4f64-acc8-86c88a198fbb","section","sections-many-small-cycles","treePreview","406600","0","SUCCESS","SUCCESS","","true","",""
"2026-05-31T03:07:49.229548600Z","4aca5fc3-21e0-4f64-acc8-86c88a198fbb","section","sections-many-small-cycles","total","132251900","132","SUCCESS","SUCCESS","","true","",""
"2026-05-31T03:07:49.479370300Z","4aca5fc3-21e0-4f64-acc8-86c88a198fbb","section","sections-overlapping-cycles","initialization","1032200","1","SUCCESS","SUCCESS","","true","",""
"2026-05-31T03:07:49.481394500Z","4aca5fc3-21e0-4f64-acc8-86c88a198fbb","section","sections-overlapping-cycles","solve","244308000","244","SUCCESS","SUCCESS","","true","",""
"2026-05-31T03:07:49.483109700Z","4aca5fc3-21e0-4f64-acc8-86c88a198fbb","section","sections-overlapping-cycles","desanitize","622400","0","SUCCESS","SUCCESS","","true","",""
"2026-05-31T03:07:49.485678900Z","4aca5fc3-21e0-4f64-acc8-86c88a198fbb","section","sections-overlapping-cycles","preview","675400","0","SUCCESS","SUCCESS","","true","",""
"2026-05-31T03:07:49.487696700Z","4aca5fc3-21e0-4f64-acc8-86c88a198fbb","section","sections-overlapping-cycles","treePreview","404100","0","SUCCESS","SUCCESS","","true","",""
"2026-05-31T03:07:49.487696700Z","4aca5fc3-21e0-4f64-acc8-86c88a198fbb","section","sections-overlapping-cycles","total","247042100","247","SUCCESS","SUCCESS","","true","",""
"2026-05-31T03:11:02.641693400Z","47b2d3e2-b912-4431-8b95-b4b8dae0488e","preview","acyclic-success","solveAndCalculatePreview","2707913800","2707","SUCCESS","SUCCESS","true","","",""
"2026-05-31T03:11:02.653925100Z","47b2d3e2-b912-4431-8b95-b4b8dae0488e","preview","acyclic-success","solveAndCalculateTreePreview","1120827600","1120","SUCCESS","SUCCESS","true","","",""
"2026-05-31T03:11:02.653925100Z","47b2d3e2-b912-4431-8b95-b4b8dae0488e","preview","acyclic-success","total","3828741400","3828","SUCCESS","SUCCESS","true","","",""
"2026-05-31T03:11:02.656639400Z","47b2d3e2-b912-4431-8b95-b4b8dae0488e","preview","acyclic-missing","solveAndCalculatePreview","3161403100","3161","MISSING_RESOURCES","MISSING_RESOURCES","true","","",""
"2026-05-31T03:11:02.657652800Z","47b2d3e2-b912-4431-8b95-b4b8dae0488e","preview","acyclic-missing","solveAndCalculateTreePreview","2559868000","2559","MISSING_RESOURCES","MISSING_RESOURCES","true","","",""
"2026-05-31T03:11:02.657652800Z","47b2d3e2-b912-4431-8b95-b4b8dae0488e","preview","acyclic-missing","total","5721271100","5721","MISSING_RESOURCES","MISSING_RESOURCES","true","","",""
